Year,GDP
1989,108.07
1990,126.03
1991,135.23
1992,146.97
1993,147.24
1994,153.57
1995,171.74
1996,163.34
1997,169
1998,152.88
1999,151.43
2000,151.85
2001,135.53
2002,129.38
2003,197.02
2004,256.19
2005,288.75
2006,304.06
2007,332.65
2008,316.49
2009,331.18
2010,417.32
2011,458.71
2012,434.4
2013,400.88
2014,381.2
2015,346.66
2016,323.49
2017,381.32
2018,405.09
2019,389.24
2020,337.88
2021,420.78
2022,406.76
2023,380.59
2024*,403.04
2025*,418.05
2026*,432.51
2027*,446.8
2028*,460.93
2029*,476.21
